"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","SUICIDE","MEN","100000PER","A","1960",36.6,
"AUT","SUICIDE","MEN","100000PER","A","1961",35.5,
"AUT","SUICIDE","MEN","100000PER","A","1962",37.6,
"AUT","SUICIDE","MEN","100000PER","A","1963",34.7,
"AUT","SUICIDE","MEN","100000PER","A","1964",37.5,
"AUT","SUICIDE","MEN","100000PER","A","1965",36.5,
"AUT","SUICIDE","MEN","100000PER","A","1966",37.9,
"AUT","SUICIDE","MEN","100000PER","A","1967",37.6,
"AUT","SUICIDE","MEN","100000PER","A","1968",37.5,
"AUT","SUICIDE","MEN","100000PER","A","1969",36.6,"B"
"AUT","SUICIDE","MEN","100000PER","A","1970",41.9,
"AUT","SUICIDE","MEN","100000PER","A","1971",37.4,
"AUT","SUICIDE","MEN","100000PER","A","1972",39.9,
"AUT","SUICIDE","MEN","100000PER","A","1973",38,
"AUT","SUICIDE","MEN","100000PER","A","1974",39.7,
"AUT","SUICIDE","MEN","100000PER","A","1975",41.9,
"AUT","SUICIDE","MEN","100000PER","A","1976",38.5,
"AUT","SUICIDE","MEN","100000PER","A","1977",39.8,
"AUT","SUICIDE","MEN","100000PER","A","1978",41.5,
"AUT","SUICIDE","MEN","100000PER","A","1979",41.1,
"AUT","SUICIDE","MEN","100000PER","A","1980",42.2,"B"
"AUT","SUICIDE","MEN","100000PER","A","1981",44.4,
"AUT","SUICIDE","MEN","100000PER","A","1982",46.4,
"AUT","SUICIDE","MEN","100000PER","A","1983",44.3,
"AUT","SUICIDE","MEN","100000PER","A","1984",44.1,
"AUT","SUICIDE","MEN","100000PER","A","1985",43.9,
"AUT","SUICIDE","MEN","100000PER","A","1986",45.5,
"AUT","SUICIDE","MEN","100000PER","A","1987",43.6,
"AUT","SUICIDE","MEN","100000PER","A","1988",39.7,
"AUT","SUICIDE","MEN","100000PER","A","1989",39.5,
"AUT","SUICIDE","MEN","100000PER","A","1990",38.1,
"AUT","SUICIDE","MEN","100000PER","A","1991",38.4,
"AUT","SUICIDE","MEN","100000PER","A","1992",37.5,
"AUT","SUICIDE","MEN","100000PER","A","1993",36.6,
"AUT","SUICIDE","MEN","100000PER","A","1994",36.8,
"AUT","SUICIDE","MEN","100000PER","A","1995",37.7,
"AUT","SUICIDE","MEN","100000PER","A","1996",38.2,
"AUT","SUICIDE","MEN","100000PER","A","1997",32.9,
"AUT","SUICIDE","MEN","100000PER","A","1998",33.3,
"AUT","SUICIDE","MEN","100000PER","A","1999",31.2,
"AUT","SUICIDE","MEN","100000PER","A","2000",31.9,
"AUT","SUICIDE","MEN","100000PER","A","2001",29.2,
"AUT","SUICIDE","MEN","100000PER","A","2002",32.1,"B"
"AUT","SUICIDE","MEN","100000PER","A","2003",28.9,
"AUT","SUICIDE","MEN","100000PER","A","2004",28.8,
"AUT","SUICIDE","MEN","100000PER","A","2005",27.1,
"AUT","SUICIDE","MEN","100000PER","A","2006",25.1,
"AUT","SUICIDE","MEN","100000PER","A","2007",24.3,
"AUT","SUICIDE","MEN","100000PER","A","2008",23.7,
"AUT","SUICIDE","MEN","100000PER","A","2009",23.7,
"AUT","SUICIDE","MEN","100000PER","A","2010",23.3,
"AUT","SUICIDE","MEN","100000PER","A","2011",23.3,
"AUT","SUICIDE","MEN","100000PER","A","2012",23.1,
"AUT","SUICIDE","MEN","100000PER","A","2013",22.3,
"AUT","SUICIDE","MEN","100000PER","A","2014",22.7,
"AUT","SUICIDE","MEN","100000PER","A","2015",21.4,
"AUT","SUICIDE","MEN","100000PER","A","2016",19.9,
"AUT","SUICIDE","MEN","100000PER","A","2017",20.9,
"BEL","SUICIDE","MEN","100000PER","A","1960",26,
"BEL","SUICIDE","MEN","100000PER","A","1961",26.1,
"BEL","SUICIDE","MEN","100000PER","A","1962",23.9,
"BEL","SUICIDE","MEN","100000PER","A","1963",23.4,
