"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","SUICIDE","WOMEN","100000PER","A","1960",14.7,
"AUT","SUICIDE","WOMEN","100000PER","A","1961",13.7,
"AUT","SUICIDE","WOMEN","100000PER","A","1962",13.2,
"AUT","SUICIDE","WOMEN","100000PER","A","1963",13.9,
"AUT","SUICIDE","WOMEN","100000PER","A","1964",13.6,
"AUT","SUICIDE","WOMEN","100000PER","A","1965",14.9,
"AUT","SUICIDE","WOMEN","100000PER","A","1966",14.2,
"AUT","SUICIDE","WOMEN","100000PER","A","1967",13.4,
"AUT","SUICIDE","WOMEN","100000PER","A","1968",12.9,
"AUT","SUICIDE","WOMEN","100000PER","A","1969",14.8,"B"
"AUT","SUICIDE","WOMEN","100000PER","A","1970",14.4,
"AUT","SUICIDE","WOMEN","100000PER","A","1971",15.2,
"AUT","SUICIDE","WOMEN","100000PER","A","1972",14.6,
"AUT","SUICIDE","WOMEN","100000PER","A","1973",13.8,
"AUT","SUICIDE","WOMEN","100000PER","A","1974",14.8,
"AUT","SUICIDE","WOMEN","100000PER","A","1975",13.9,
"AUT","SUICIDE","WOMEN","100000PER","A","1976",13.3,
"AUT","SUICIDE","WOMEN","100000PER","A","1977",15.1,
"AUT","SUICIDE","WOMEN","100000PER","A","1978",14,
"AUT","SUICIDE","WOMEN","100000PER","A","1979",14.8,
"AUT","SUICIDE","WOMEN","100000PER","A","1980",14.6,"B"
"AUT","SUICIDE","WOMEN","100000PER","A","1981",14.8,
"AUT","SUICIDE","WOMEN","100000PER","A","1982",14.1,
"AUT","SUICIDE","WOMEN","100000PER","A","1983",14.9,
"AUT","SUICIDE","WOMEN","100000PER","A","1984",14.5,
"AUT","SUICIDE","WOMEN","100000PER","A","1985",15.2,
"AUT","SUICIDE","WOMEN","100000PER","A","1986",15.3,
"AUT","SUICIDE","WOMEN","100000PER","A","1987",14.9,
"AUT","SUICIDE","WOMEN","100000PER","A","1988",12.7,
"AUT","SUICIDE","WOMEN","100000PER","A","1989",13.9,
"AUT","SUICIDE","WOMEN","100000PER","A","1990",12.9,
"AUT","SUICIDE","WOMEN","100000PER","A","1991",11.2,
"AUT","SUICIDE","WOMEN","100000PER","A","1992",11.4,
"AUT","SUICIDE","WOMEN","100000PER","A","1993",10.7,
"AUT","SUICIDE","WOMEN","100000PER","A","1994",11.4,
"AUT","SUICIDE","WOMEN","100000PER","A","1995",10.3,
"AUT","SUICIDE","WOMEN","100000PER","A","1996",10,
"AUT","SUICIDE","WOMEN","100000PER","A","1997",9.5,
"AUT","SUICIDE","WOMEN","100000PER","A","1998",8.7,
"AUT","SUICIDE","WOMEN","100000PER","A","1999",9.7,
"AUT","SUICIDE","WOMEN","100000PER","A","2000",9.7,
"AUT","SUICIDE","WOMEN","100000PER","A","2001",9,
"AUT","SUICIDE","WOMEN","100000PER","A","2002",8,"B"
"AUT","SUICIDE","WOMEN","100000PER","A","2003",8.5,
"AUT","SUICIDE","WOMEN","100000PER","A","2004",7.5,
"AUT","SUICIDE","WOMEN","100000PER","A","2005",7.5,
"AUT","SUICIDE","WOMEN","100000PER","A","2006",6.1,
"AUT","SUICIDE","WOMEN","100000PER","A","2007",6.5,
"AUT","SUICIDE","WOMEN","100000PER","A","2008",6.3,
"AUT","SUICIDE","WOMEN","100000PER","A","2009",6.2,
"AUT","SUICIDE","WOMEN","100000PER","A","2010",6,
"AUT","SUICIDE","WOMEN","100000PER","A","2011",6.5,
"AUT","SUICIDE","WOMEN","100000PER","A","2012",5.7,
"AUT","SUICIDE","WOMEN","100000PER","A","2013",6.5,
"AUT","SUICIDE","WOMEN","100000PER","A","2014",6.4,
"AUT","SUICIDE","WOMEN","100000PER","A","2015",5.7,
"AUT","SUICIDE","WOMEN","100000PER","A","2016",5.8,
"AUT","SUICIDE","WOMEN","100000PER","A","2017",5,
"BEL","SUICIDE","WOMEN","100000PER","A","1960",8.4,
"BEL","SUICIDE","WOMEN","100000PER","A","1961",8.1,
"BEL","SUICIDE","WOMEN","100000PER","A","1962",7.8,
"BEL","SUICIDE","WOMEN","100000PER","A","1963",9.2,
"BEL","SUICIDE","WOMEN","100000PER","A","1964",8.4,
"BEL","SUICIDE","WOMEN","100000PER","A","1965",9.9,
"BEL","SUICIDE","WOMEN","100000PER","A","1966",9.2,
"BEL","SUICIDE","WOMEN","100000PER","A","1967",9.6,
"BEL","SUICIDE","WOMEN","100000PER","A","1968",10.3,"B"
"BEL","SUICIDE","WOMEN","100000PER","A","1969",9.6,
"BEL","SUICIDE","WOMEN","100000PER","A","1970",11.8,
"BEL","SUICIDE","WOMEN","100000PER","A","1971",9.9,
"BEL","SUICIDE","WOMEN","100000PER","A","1972",10.4,
"BEL","SUICIDE","WOMEN","100000PER","A","1973",9.6,
"BEL","SUICIDE","WOMEN","100000PER","A","1974",10.5,
"BEL","SUICIDE","WOMEN","100000PER","A","1975",11.8,
"BEL","SUICIDE","WOMEN","100000PER","A","1976",11.6,
"BEL","SUICIDE","WOMEN","100000PER","A","1977",13.7,
"BEL","SUICIDE","WOMEN","100000PER","A","1978",14.4,
"BEL","SUICIDE","WOMEN","100000PER","A","1979",15.1,"B"
"BEL","SUICIDE","WOMEN","100000PER","A","1980",16.4,
"BEL","SUICIDE","WOMEN","100000PER","A","1981",14.9,
"BEL","SUICIDE","WOMEN","100000PER","A","1982",14,
"BEL","SUICIDE","WOMEN","100000PER","A","1983",16.1,
"BEL","SUICIDE","WOMEN","100000PER","A","1984",15.4,
"BEL","SUICIDE","WOMEN","100000PER","A","1985",15,
"BEL","SUICIDE","WOMEN","100000PER","A","1986",14.1,
"BEL","SUICIDE","WOMEN","100000PER","A","1987",13.5,
"BEL","SUICIDE","WOMEN","100000PER","A","1988",12.5,
"BEL","SUICIDE","WOMEN","100000PER","A","1989",11.2,
"BEL","SUICIDE","WOMEN","100000PER","A","1990",11.3,
"BEL","SUICIDE","WOMEN","100000PER","A","1991",10.1,
"BEL","SUICIDE","WOMEN","100000PER","A","1992",10.7,
"BEL","SUICIDE","WOMEN","100000PER","A","1993",11.1,
"BEL","SUICIDE","WOMEN","100000PER","A","1994",11,
"BEL","SUICIDE","WOMEN","100000PER","A","1995",11.2,
"BEL","SUICIDE","WOMEN","100000PER","A","1996",10.3,
"BEL","SUICIDE","WOMEN","100000PER","A","1997",11.2,
"BEL","SUICIDE","WOMEN","100000PER","A","1998",10.3,"B"
"BEL","SUICIDE","WOMEN","100000PER","A","1999",9.1,
"BEL","SUICIDE","WOMEN","100000PER","A","2000",11.4,
"BEL","SUICIDE","WOMEN","100000PER","A","2001",10.5,
"BEL","SUICIDE","WOMEN","100000PER","A","2002",10.5,
"BEL","SUICIDE","WOMEN","100000PER","A","2003",10.1,
"BEL","SUICIDE","WOMEN","100000PER","A","2004",9.6,
"BEL","SUICIDE","WOMEN","100000PER","A","2005",9.7,
"BEL","SUICIDE","WOMEN","100000PER","A","2006",9.5,
"BEL","SUICIDE","WOMEN","100000PER","A","2007",9.3,
"BEL","SUICIDE","WOMEN","100000PER","A","2008",9.5,
"BEL","SUICIDE","WOMEN","100000PER","A","2009",9.6,
"BEL","SUICIDE","WOMEN","100000PER","A","2010",9.6,
"BEL","SUICIDE","WOMEN","100000PER","A","2011",10.2,
"BEL","SUICIDE","WOMEN","100000PER","A","2012",9,
"BEL","SUICIDE","WOMEN","100000PER","A","2013",8.8,
"BEL","SUICIDE","WOMEN","100000PER","A","2014",9.1,
"BEL","SUICIDE","WOMEN","100000PER","A","2015",9,
"BEL","SUICIDE","WOMEN","100000PER","A","2016",8.8,
"CZE","SUICIDE","WOMEN","100000PER","A","1986",12.4,
