"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2000",41.212311,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2001",41.076141,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2002",39.050316,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2003",37.519817,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2004",35.879036,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2005",34.967968,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2006",33.289845,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2007",31.816732,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2008",30.064018,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2009",28.972523,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2010",26.792744,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2011",25.922543,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2012",23.563389,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2013",24.28443,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2014",22.895836,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2015",20.980896,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2016",20.067352,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2017",19.012659,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2018",18.108641,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2019",17.132658,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2004",23.66626,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2005",23.055067,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2006",19.871609,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2007",20.062889,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2008",19.120087,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2009",18.354979,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2010",17.647495,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2011",17.636829,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2012",17.08353,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2013",17.028002,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2014",16.143999,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2015",15.351305,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2016",15.471591,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2017",15.037577,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2018",14.702526,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2019",14.435863,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2000",41.47678,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2001",40.536442,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2002",39.196617,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2003",37.952141,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2004",35.708241,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2005",33.903755,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2006",33.057926,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2007",32.046577,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2008",30.423817,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2009",29.427107,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2010",29.500488,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2011",28.733294,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2012",28.356371,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2013",27.241648,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2014",26.44935,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2015",25.322903,
