"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","1960",2409.058207,
"AUS","GDP","TOT","USD_CAP","A","1961",2379.705491,
"AUS","GDP","TOT","USD_CAP","A","1962",2573.580478,
"AUS","GDP","TOT","USD_CAP","A","1963",2748.475664,
"AUS","GDP","TOT","USD_CAP","A","1964",2898.335391,
"AUS","GDP","TOT","USD_CAP","A","1965",2997.714205,
"AUS","GDP","TOT","USD_CAP","A","1966",3270.894847,
"AUS","GDP","TOT","USD_CAP","A","1967",3442.171342,
"AUS","GDP","TOT","USD_CAP","A","1968",3827.600452,
"AUS","GDP","TOT","USD_CAP","A","1969",4201.74299,
"AUS","GDP","TOT","USD_CAP","A","1970",4638.882122,
"AUS","GDP","TOT","USD_CAP","A","1971",4849.898734,
"AUS","GDP","TOT","USD_CAP","A","1972",5195.547601,
"AUS","GDP","TOT","USD_CAP","A","1973",5779.64508,
"AUS","GDP","TOT","USD_CAP","A","1974",6228.527488,
"AUS","GDP","TOT","USD_CAP","A","1975",6919.788665,
"AUS","GDP","TOT","USD_CAP","A","1976",7376.296715,
"AUS","GDP","TOT","USD_CAP","A","1977",7706.334772,
"AUS","GDP","TOT","USD_CAP","A","1978",8530.021615,
"AUS","GDP","TOT","USD_CAP","A","1979",9430.067841,
"AUS","GDP","TOT","USD_CAP","A","1980",10448.711199,
"AUS","GDP","TOT","USD_CAP","A","1981",11923.069752,
"AUS","GDP","TOT","USD_CAP","A","1982",11957.488661,
"AUS","GDP","TOT","USD_CAP","A","1983",12740.151227,
"AUS","GDP","TOT","USD_CAP","A","1984",13563.585255,
"AUS","GDP","TOT","USD_CAP","A","1985",14470.976794,
"AUS","GDP","TOT","USD_CAP","A","1986",14952.217332,
"AUS","GDP","TOT","USD_CAP","A","1987",16011.639428,
"AUS","GDP","TOT","USD_CAP","A","1988",17082.795519,
"AUS","GDP","TOT","USD_CAP","A","1989",17784.149789,
"AUS","GDP","TOT","USD_CAP","A","1990",17788.539395,
"AUS","GDP","TOT","USD_CAP","A","1991",18126.291286,
"AUS","GDP","TOT","USD_CAP","A","1992",19096.53826,
"AUS","GDP","TOT","USD_CAP","A","1993",20120.123594,
"AUS","GDP","TOT","USD_CAP","A","1994",21350.873236,
"AUS","GDP","TOT","USD_CAP","A","1995",22356.144231,
"AUS","GDP","TOT","USD_CAP","A","1996",23219.188226,
"AUS","GDP","TOT","USD_CAP","A","1997",24403.170106,
"AUS","GDP","TOT","USD_CAP","A","1998",25631.433579,
"AUS","GDP","TOT","USD_CAP","A","1999",27098.221278,
"AUS","GDP","TOT","USD_CAP","A","2000",28249.377533,
"AUS","GDP","TOT","USD_CAP","A","2001",29474.974238,
"AUS","GDP","TOT","USD_CAP","A","2002",30740.962903,
"AUS","GDP","TOT","USD_CAP","A","2003",32245.447585,
"AUS","GDP","TOT","USD_CAP","A","2004",33856.852355,
"AUS","GDP","TOT","USD_CAP","A","2005",35570.808015,
"AUS","GDP","TOT","USD_CAP","A","2006",37844.782088,
"AUS","GDP","TOT","USD_CAP","A","2007",39597.743117,
"AUS","GDP","TOT","USD_CAP","A","2008",40094.833205,
"AUS","GDP","TOT","USD_CAP","A","2009",41615.326657,
"AUS","GDP","TOT","USD_CAP","A","2010",42787.358539,
"AUS","GDP","TOT","USD_CAP","A","2011",44419.309749,
"AUS","GDP","TOT","USD_CAP","A","2012",43879.180355,
"AUS","GDP","TOT","USD_CAP","A","2013",47761.21406,
"AUS","GDP","TOT","USD_CAP","A","2014",47644.762792,
"AUS","GDP","TOT","USD_CAP","A","2015",47304.816745,
"AUS","GDP","TOT","USD_CAP","A","2016",50248.361977,
"AUS","GDP","TOT","USD_CAP","A","2017",51260.535619,
"AUS","GDP","TOT","USD_CAP","A","2018",53850.538435,
"AUS","GDP","TOT","USD_CAP","A","2019",54351.729551,"E"
"AUT","GDP","TOT","USD_CAP","A","1970",3822.519954,"E"
"AUT","GDP","TOT","USD_CAP","A","1971",4202.511916,"E"
"AUT","GDP","TOT","USD_CAP","A","1972",4629.799378,"E"
