"LOCATION""","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PENSIONEXP","PUB","PC_GDP","A","1980","3.592",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","1981","3.554",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","1982","3.674",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","1983","3.626",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","1984","3.559",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","1985","3.398",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","1986","3.29",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","1987","3.24",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","1988","2.892",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","1989","2.843",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","1990","3.08",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","1991","3.202",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","1992","3.203",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","1993","3.301",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","1994","3.164",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","1995","4.344",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","1996","4.378",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","1997","4.276",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","1998","4.361",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","1999","4.015",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","2000","4.678",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","2001","4.078",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","2002","3.939",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","2003","3.85",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","2004","3.891",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","2005","3.743",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","2006","3.695",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","2007","3.861",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","2008","3.936",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","2009","3.806",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","2010","3.76",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","2011","3.863",""
"AUS","PENSIONEXP","PUB","PC_GDP","A","2012","3.919",""
