"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
EST,"HUR","WOMEN","PC_LF","A","2000","13.29204",""
EST,"HUR","WOMEN","PC_LF","A","2001","12.18639",""
EST,"HUR","WOMEN","PC_LF","A","2002","10.04234",""
EST,"HUR","WOMEN","PC_LF","A","2003","9.878282",""
EST,"HUR","WOMEN","PC_LF","A","2004","9.132123","B"
EST,"HUR","WOMEN","PC_LF","A","2005","6.911058",""
EST,"HUR","WOMEN","PC_LF","A","2006","5.582448",""
EST,"HUR","WOMEN","PC_LF","A","2007","3.756121",""
EST,"HUR","WOMEN","PC_LF","A","2008","5.116453",""
EST,"HUR","WOMEN","PC_LF","A","2009","10.30146",""
EST,"HUR","WOMEN","PC_LF","A","2010","14.09136",""
EST,"HUR","WOMEN","PC_LF","A","2011","11.58559",""
EST,"HUR","WOMEN","PC_LF","A","2012","9.0976",""
EST,"HUR","WOMEN","PC_LF","A","2013","8.157151",""
EST,"HUR","WOMEN","PC_LF","A","2014","6.82414",""
EST,"HUR","WOMEN","PC_LF","A","2015","6.138492",""
EST,"HUR","WOMEN","PC_LF","A","2016","6.066381",""
EST,"HUR","WOMEN","PC_LF","A","2017","5.298813",""
EST,"HUR","WOMEN","PC_LF","A","2018","5.324687",""
EST,"HUR","WOMEN","PC_LF","A","2019","4.835785",""
KOR,"HUR","WOMEN","PC_LF","A","1989","1.868859",""
KOR,"HUR","WOMEN","PC_LF","A","1990","1.79583","B"
KOR,"HUR","WOMEN","PC_LF","A","1991","2.004424",""
KOR,"HUR","WOMEN","PC_LF","A","1992","2.138951",""
KOR,"HUR","WOMEN","PC_LF","A","1993","2.281698",""
KOR,"HUR","WOMEN","PC_LF","A","1994","1.960069",""
KOR,"HUR","WOMEN","PC_LF","A","1995","1.702646",""
KOR,"HUR","WOMEN","PC_LF","A","1996","1.581536",""
KOR,"HUR","WOMEN","PC_LF","A","1997","2.32089",""
KOR,"HUR","WOMEN","PC_LF","A","1998","5.654491",""
KOR,"HUR","WOMEN","PC_LF","A","1999","5.382957","B"
KOR,"HUR","WOMEN","PC_LF","A","2000","3.658333",""
KOR,"HUR","WOMEN","PC_LF","A","2001","3.325",""
KOR,"HUR","WOMEN","PC_LF","A","2002","2.741667",""
KOR,"HUR","WOMEN","PC_LF","A","2003","3.291667",""
KOR,"HUR","WOMEN","PC_LF","A","2004","3.358333",""
KOR,"HUR","WOMEN","PC_LF","A","2005","3.408333",""
KOR,"HUR","WOMEN","PC_LF","A","2006","2.95",""
KOR,"HUR","WOMEN","PC_LF","A","2007","2.641667",""
KOR,"HUR","WOMEN","PC_LF","A","2008","2.625",""
KOR,"HUR","WOMEN","PC_LF","A","2009","3.008333",""
KOR,"HUR","WOMEN","PC_LF","A","2010","3.341667",""
KOR,"HUR","WOMEN","PC_LF","A","2011","3.125",""
KOR,"HUR","WOMEN","PC_LF","A","2012","2.958333",""
KOR,"HUR","WOMEN","PC_LF","A","2013","2.833333",""
KOR,"HUR","WOMEN","PC_LF","A","2014","3.475",""
KOR,"HUR","WOMEN","PC_LF","A","2015","3.541667",""
KOR,"HUR","WOMEN","PC_LF","A","2016","3.583333",""
KOR,"HUR","WOMEN","PC_LF","A","2017","3.533333",""
KOR,"HUR","WOMEN","PC_LF","A","2018","3.733333",""
KOR,"HUR","WOMEN","PC_LF","A","2019","3.608333",""
SWE,"HUR","WOMEN","PC_LF","A","2001","4.510637",""
SWE,"HUR","WOMEN","PC_LF","A","2002","4.62156",""
SWE,"HUR","WOMEN","PC_LF","A","2003","5.175183",""
SWE,"HUR","WOMEN","PC_LF","A","2004","6.130221","B"
SWE,"HUR","WOMEN","PC_LF","A","2005","7.3594","B"
SWE,"HUR","WOMEN","PC_LF","A","2006","7.254507",""
SWE,"HUR","WOMEN","PC_LF","A","2007","6.466179",""
SWE,"HUR","WOMEN","PC_LF","A","2008","6.564548",""
SWE,"HUR","WOMEN","PC_LF","A","2009","8.007229",""
SWE,"HUR","WOMEN","PC_LF","A","2010","8.519282",""
SWE,"HUR","WOMEN","PC_LF","A","2011","7.763507",""
SWE,"HUR","WOMEN","PC_LF","A","2012","7.709259",""
SWE,"HUR","WOMEN","PC_LF","A","2013","7.888688",""
SWE,"HUR","WOMEN","PC_LF","A","2014","7.696026",""
SWE,"HUR","WOMEN","PC_LF","A","2015","7.291043",""
SWE,"HUR","WOMEN","PC_LF","A","2016","6.586585",""
SWE,"HUR","WOMEN","PC_LF","A","2017","6.439616",""
SWE,"HUR","WOMEN","PC_LF","A","2018","6.235263","B"
SWE,"HUR","WOMEN","PC_LF","A","2019","6.955979",""
FIN,"HUR","WOMEN","PC_LF","A","1998","11.92805","B"
FIN,"HUR","WOMEN","PC_LF","A","1999","10.70334","B"
FIN,"HUR","WOMEN","PC_LF","A","2000","10.57638","B"
FIN,"HUR","WOMEN","PC_LF","A","2001","9.665298",""
FIN,"HUR","WOMEN","PC_LF","A","2002","9.046747",""
FIN,"HUR","WOMEN","PC_LF","A","2003","8.865559",""
FIN,"HUR","WOMEN","PC_LF","A","2004","8.908609","B"
FIN,"HUR","WOMEN","PC_LF","A","2005","8.606185",""
FIN,"HUR","WOMEN","PC_LF","A","2006","8.074611",""
FIN,"HUR","WOMEN","PC_LF","A","2007","7.187672","B"
FIN,"HUR","WOMEN","PC_LF","A","2008","6.685288",""
FIN,"HUR","WOMEN","PC_LF","A","2009","7.562925",""
FIN,"HUR","WOMEN","PC_LF","A","2010","7.630409",""
FIN,"HUR","WOMEN","PC_LF","A","2011","7.099534",""
FIN,"HUR","WOMEN","PC_LF","A","2012","7.048652",""
FIN,"HUR","WOMEN","PC_LF","A","2013","7.512559",""
FIN,"HUR","WOMEN","PC_LF","A","2014","7.948694",""
FIN,"HUR","WOMEN","PC_LF","A","2015","8.832182",""
FIN,"HUR","WOMEN","PC_LF","A","2016","8.57287",""
FIN,"HUR","WOMEN","PC_LF","A","2017","8.380827",""
FIN,"HUR","WOMEN","PC_LF","A","2018","7.289299",""
FIN,"HUR","WOMEN","PC_LF","A","2019","6.171155",""
GBR,"HUR","WOMEN","PC_LF","A","2000","5.004312",""
GBR,"HUR","WOMEN","PC_LF","A","2001","4.383886",""
GBR,"HUR","WOMEN","PC_LF","A","2002","4.504593",""
GBR,"HUR","WOMEN","PC_LF","A","2003","4.31887","B"
GBR,"HUR","WOMEN","PC_LF","A","2004","4.241541","B"
GBR,"HUR","WOMEN","PC_LF","A","2005","4.291398",""
GBR,"HUR","WOMEN","PC_LF","A","2006","4.94475","B"
GBR,"HUR","WOMEN","PC_LF","A","2007","4.960791","B"
GBR,"HUR","WOMEN","PC_LF","A","2008","5.083643",""
GBR,"HUR","WOMEN","PC_LF","A","2009","6.419574",""
GBR,"HUR","WOMEN","PC_LF","A","2010","6.873693",""
GBR,"HUR","WOMEN","PC_LF","A","2011","7.339262",""
GBR,"HUR","WOMEN","PC_LF","A","2012","7.385454",""
GBR,"HUR","WOMEN","PC_LF","A","2013","7.037649",""
GBR,"HUR","WOMEN","PC_LF","A","2014","5.82105",""
GBR,"HUR","WOMEN","PC_LF","A","2015","5.124875",""
GBR,"HUR","WOMEN","PC_LF","A","2016","4.680531",""
GBR,"HUR","WOMEN","PC_LF","A","2017","4.215108",""
GBR,"HUR","WOMEN","PC_LF","A","2018","3.940552",""
GBR,"HUR","WOMEN","PC_LF","A","2019","3.535064",""
GRC,"HUR","WOMEN","PC_LF","A","1998","17.21693",""
GRC,"HUR","WOMEN","PC_LF","A","1999","18.27026",""
GRC,"HUR","WOMEN","PC_LF","A","2000","17.22874","B"
GRC,"HUR","WOMEN","PC_LF","A","2001","16.25085",""
GRC,"HUR","WOMEN","PC_LF","A","2002","15.74678",""
GRC,"HUR","WOMEN","PC_LF","A","2003","15.11788","B"
GRC,"HUR","WOMEN","PC_LF","A","2004","16.30576","B"
GRC,"HUR","WOMEN","PC_LF","A","2005","15.43236",""
GRC,"HUR","WOMEN","PC_LF","A","2006","13.76072",""
GRC,"HUR","WOMEN","PC_LF","A","2007","12.90753",""
GRC,"HUR","WOMEN","PC_LF","A","2008","11.51416","B"
GRC,"HUR","WOMEN","PC_LF","A","2009","13.28092",""
GRC,"HUR","WOMEN","PC_LF","A","2010","16.33638",""
GRC,"HUR","WOMEN","PC_LF","A","2011","21.50938",""
GRC,"HUR","WOMEN","PC_LF","A","2012","28.20933",""
GRC,"HUR","WOMEN","PC_LF","A","2013","31.34878",""
GRC,"HUR","WOMEN","PC_LF","A","2014","30.167",""
GRC,"HUR","WOMEN","PC_LF","A","2015","28.85864",""
GRC,"HUR","WOMEN","PC_LF","A","2016","28.09769",""
GRC,"HUR","WOMEN","PC_LF","A","2017","26.07083",""
GRC,"HUR","WOMEN","PC_LF","A","2018","24.23657",""
GRC,"HUR","WOMEN","PC_LF","A","2019","21.49731",""
PRT,"HUR","WOMEN","PC_LF","A","1998","6.289935",""
PRT,"HUR","WOMEN","PC_LF","A","1999","5.208207",""
PRT,"HUR","WOMEN","PC_LF","A","2000","5.007393",""
PRT,"HUR","WOMEN","PC_LF","A","2001","5.03074",""
PRT,"HUR","WOMEN","PC_LF","A","2002","6.026369",""
PRT,"HUR","WOMEN","PC_LF","A","2003","7.220959",""
PRT,"HUR","WOMEN","PC_LF","A","2004","7.569869","B"
PRT,"HUR","WOMEN","PC_LF","A","2005","8.631614",""
PRT,"HUR","WOMEN","PC_LF","A","2006","8.903216",""
PRT,"HUR","WOMEN","PC_LF","A","2007","9.490885",""
PRT,"HUR","WOMEN","PC_LF","A","2008","8.75024",""
PRT,"HUR","WOMEN","PC_LF","A","2009","10.09169",""
PRT,"HUR","WOMEN","PC_LF","A","2010","11.86537","B"
PRT,"HUR","WOMEN","PC_LF","A","2011","13.04627",""
PRT,"HUR","WOMEN","PC_LF","A","2012","15.50146",""
PRT,"HUR","WOMEN","PC_LF","A","2013","16.36873",""
PRT,"HUR","WOMEN","PC_LF","A","2014","14.32694",""
PRT,"HUR","WOMEN","PC_LF","A","2015","12.7468",""
PRT,"HUR","WOMEN","PC_LF","A","2016","11.1672",""
PRT,"HUR","WOMEN","PC_LF","A","2017","9.350579",""
PRT,"HUR","WOMEN","PC_LF","A","2018","7.437895",""
PRT,"HUR","WOMEN","PC_LF","A","2019","7.148053",""
IRL,"HUR","WOMEN","PC_LF","A","1998","7.332675",""
IRL,"HUR","WOMEN","PC_LF","A","1999","5.519557",""
IRL,"HUR","WOMEN","PC_LF","A","2000","4.235838",""
IRL,"HUR","WOMEN","PC_LF","A","2001","3.77728",""
IRL,"HUR","WOMEN","PC_LF","A","2002","4.081366",""
IRL,"HUR","WOMEN","PC_LF","A","2003","4.342695",""
IRL,"HUR","WOMEN","PC_LF","A","2004","4.073851","B"
IRL,"HUR","WOMEN","PC_LF","A","2005","4.001233",""
IRL,"HUR","WOMEN","PC_LF","A","2006","4.207281","B"
IRL,"HUR","WOMEN","PC_LF","A","2007","4.926847",""
IRL,"HUR","WOMEN","PC_LF","A","2008","5.694941",""
IRL,"HUR","WOMEN","PC_LF","A","2009","9.502238",""
IRL,"HUR","WOMEN","PC_LF","A","2010","11.40728",""
IRL,"HUR","WOMEN","PC_LF","A","2011","12.49817",""
IRL,"HUR","WOMEN","PC_LF","A","2012","12.75214",""
IRL,"HUR","WOMEN","PC_LF","A","2013","12.41754",""
