"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1980",0.654,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1981",0.697,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1982",1.189,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1983",1.365,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1984",1.27,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1985",1.2,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1986",1.209,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1987",1.042,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1988",0.831,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1989",0.76,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1990",1.1,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1991",1.595,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1992",1.72,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1993",1.732,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1994",1.496,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1995",1.19,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1996",1.195,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1997",1.182,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1998",1.118,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1999",0.988,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2000",0.926,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2001",0.885,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2002",0.773,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2003",0.7,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2004",0.62,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2005",0.547,
