"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SUICIDE","MEN","100000PER","A","1960",19.2,
"AUS","SUICIDE","MEN","100000PER","A","1961",21.4,
"AUS","SUICIDE","MEN","100000PER","A","1962",24,
"AUS","SUICIDE","MEN","100000PER","A","1963",26.3,
"AUS","SUICIDE","MEN","100000PER","A","1964",24.4,
"AUS","SUICIDE","MEN","100000PER","A","1965",23.5,
"AUS","SUICIDE","MEN","100000PER","A","1966",22.9,
"AUS","SUICIDE","MEN","100000PER","A","1967",24,
"AUS","SUICIDE","MEN","100000PER","A","1968",21.5,"B"
"AUS","SUICIDE","MEN","100000PER","A","1969",21.2,
"AUS","SUICIDE","MEN","100000PER","A","1970",21.4,
"AUS","SUICIDE","MEN","100000PER","A","1971",22.4,
"AUS","SUICIDE","MEN","100000PER","A","1972",20.7,
"AUS","SUICIDE","MEN","100000PER","A","1973",19.3,
"AUS","SUICIDE","MEN","100000PER","A","1974",20,
"AUS","SUICIDE","MEN","100000PER","A","1975",18.5,
"AUS","SUICIDE","MEN","100000PER","A","1976",18.9,
"AUS","SUICIDE","MEN","100000PER","A","1977",19,
"AUS","SUICIDE","MEN","100000PER","A","1978",18.2,
"AUS","SUICIDE","MEN","100000PER","A","1979",18.9,"B"
"AUS","SUICIDE","MEN","100000PER","A","1980",18.8,
"AUS","SUICIDE","MEN","100000PER","A","1981",19.5,
"AUS","SUICIDE","MEN","100000PER","A","1982",19.8,
"AUS","SUICIDE","MEN","100000PER","A","1983",19.3,
"AUS","SUICIDE","MEN","100000PER","A","1984",19.2,
"AUS","SUICIDE","MEN","100000PER","A","1985",20,
"AUS","SUICIDE","MEN","100000PER","A","1986",21.6,
"AUS","SUICIDE","MEN","100000PER","A","1987",23.4,
"AUS","SUICIDE","MEN","100000PER","A","1988",22.1,
"AUS","SUICIDE","MEN","100000PER","A","1989",20.8,
"AUS","SUICIDE","MEN","100000PER","A","1990",22,
"AUS","SUICIDE","MEN","100000PER","A","1991",22.2,
"AUS","SUICIDE","MEN","100000PER","A","1992",21.4,
"AUS","SUICIDE","MEN","100000PER","A","1993",19.7,
"AUS","SUICIDE","MEN","100000PER","A","1994",22,
"AUS","SUICIDE","MEN","100000PER","A","1995",19.7,
"AUS","SUICIDE","MEN","100000PER","A","1996",22.4,
"AUS","SUICIDE","MEN","100000PER","A","1997",23.3,
"AUS","SUICIDE","MEN","100000PER","A","1998",23,"B"
"AUS","SUICIDE","MEN","100000PER","A","1999",21.9,
"AUS","SUICIDE","MEN","100000PER","A","2000",20.4,
"AUS","SUICIDE","MEN","100000PER","A","2001",20.6,
"AUS","SUICIDE","MEN","100000PER","A","2002",18.9,
"AUS","SUICIDE","MEN","100000PER","A","2003",17.4,
"AUS","SUICIDE","MEN","100000PER","A","2004",17.2,
"AUS","SUICIDE","MEN","100000PER","A","2006",16.5,
"AUS","SUICIDE","MEN","100000PER","A","2007",16.5,
"AUS","SUICIDE","MEN","100000PER","A","2008",17.4,
"AUS","SUICIDE","MEN","100000PER","A","2009",16.6,
"AUS","SUICIDE","MEN","100000PER","A","2010",17.1,
"AUS","SUICIDE","MEN","100000PER","A","2011",16.6,
"AUS","SUICIDE","MEN","100000PER","A","2012",17.4,
"AUS","SUICIDE","MEN","100000PER","A","2013",17.2,
"AUS","SUICIDE","MEN","100000PER","A","2014",19.2,
"AUS","SUICIDE","MEN","100000PER","A","2015",20,
"AUS","SUICIDE","MEN","100000PER","A","2016",18.4,
"AUS","SUICIDE","MEN","100000PER","A","2017",19.5,
"AUT","SUICIDE","MEN","100000PER","A","1960",36.6,
"AUT","SUICIDE","MEN","100000PER","A","1961",35.5,
"AUT","SUICIDE","MEN","100000PER","A","1962",37.6,
"AUT","SUICIDE","MEN","100000PER","A","1963",34.7,
"AUT","SUICIDE","MEN","100000PER","A","1964",37.5,
"AUT","SUICIDE","MEN","100000PER","A","1965",36.5,
"AUT","SUICIDE","MEN","100000PER","A","1966",37.9,
"AUT","SUICIDE","MEN","100000PER","A","1967",37.6,
"AUT","SUICIDE","MEN","100000PER","A","1968",37.5,
"AUT","SUICIDE","MEN","100000PER","A","1969",36.6,"B"
"AUT","SUICIDE","MEN","100000PER","A","1970",41.9,
"AUT","SUICIDE","MEN","100000PER","A","1971",37.4,
"AUT","SUICIDE","MEN","100000PER","A","1972",39.9,
"AUT","SUICIDE","MEN","100000PER","A","1973",38,
"AUT","SUICIDE","MEN","100000PER","A","1974",39.7,
"AUT","SUICIDE","MEN","100000PER","A","1975",41.9,
"AUT","SUICIDE","MEN","100000PER","A","1976",38.5,
"AUT","SUICIDE","MEN","100000PER","A","1977",39.8,
"AUT","SUICIDE","MEN","100000PER","A","1978",41.5,
"AUT","SUICIDE","MEN","100000PER","A","1979",41.1,
"AUT","SUICIDE","MEN","100000PER","A","1980",42.2,"B"
"AUT","SUICIDE","MEN","100000PER","A","1981",44.4,
"AUT","SUICIDE","MEN","100000PER","A","1982",46.4,
"AUT","SUICIDE","MEN","100000PER","A","1983",44.3,
"AUT","SUICIDE","MEN","100000PER","A","1984",44.1,
"AUT","SUICIDE","MEN","100000PER","A","1985",43.9,
"AUT","SUICIDE","MEN","100000PER","A","1986",45.5,
"AUT","SUICIDE","MEN","100000PER","A","1987",43.6,
"AUT","SUICIDE","MEN","100000PER","A","1988",39.7,
"AUT","SUICIDE","MEN","100000PER","A","1989",39.5,
"AUT","SUICIDE","MEN","100000PER","A","1990",38.1,
"AUT","SUICIDE","MEN","100000PER","A","1991",38.4,
"AUT","SUICIDE","MEN","100000PER","A","1992",37.5,
"AUT","SUICIDE","MEN","100000PER","A","1993",36.6,
"AUT","SUICIDE","MEN","100000PER","A","1994",36.8,
"AUT","SUICIDE","MEN","100000PER","A","1995",37.7,
"AUT","SUICIDE","MEN","100000PER","A","1996",38.2,
"AUT","SUICIDE","MEN","100000PER","A","1997",32.9,
"AUT","SUICIDE","MEN","100000PER","A","1998",33.3,
"AUT","SUICIDE","MEN","100000PER","A","1999",31.2,
"AUT","SUICIDE","MEN","100000PER","A","2000",31.9,
"AUT","SUICIDE","MEN","100000PER","A","2001",29.2,
"AUT","SUICIDE","MEN","100000PER","A","2002",32.1,"B"
"AUT","SUICIDE","MEN","100000PER","A","2003",28.9,
"AUT","SUICIDE","MEN","100000PER","A","2004",28.8,
"AUT","SUICIDE","MEN","100000PER","A","2005",27.1,
"AUT","SUICIDE","MEN","100000PER","A","2006",25.1,
"AUT","SUICIDE","MEN","100000PER","A","2007",24.3,
"AUT","SUICIDE","MEN","100000PER","A","2008",23.7,
"AUT","SUICIDE","MEN","100000PER","A","2009",23.7,
"AUT","SUICIDE","MEN","100000PER","A","2010",23.3,
"AUT","SUICIDE","MEN","100000PER","A","2011",23.3,
"AUT","SUICIDE","MEN","100000PER","A","2012",23.1,
"AUT","SUICIDE","MEN","100000PER","A","2013",22.3,
"AUT","SUICIDE","MEN","100000PER","A","2014",22.7,
"AUT","SUICIDE","MEN","100000PER","A","2015",21.4,
"AUT","SUICIDE","MEN","100000PER","A","2016",19.9,
"AUT","SUICIDE","MEN","100000PER","A","2017",20.9,
"BEL","SUICIDE","MEN","100000PER","A","1960",26,
"BEL","SUICIDE","MEN","100000PER","A","1961",26.1,
"BEL","SUICIDE","MEN","100000PER","A","1962",23.9,
"BEL","SUICIDE","MEN","100000PER","A","1963",23.4,
"BEL","SUICIDE","MEN","100000PER","A","1964",24.2,
"BEL","SUICIDE","MEN","100000PER","A","1965",25.1,
"BEL","SUICIDE","MEN","100000PER","A","1966",24.4,
"BEL","SUICIDE","MEN","100000PER","A","1967",25.4,
"BEL","SUICIDE","MEN","100000PER","A","1968",25.6,"B"
"BEL","SUICIDE","MEN","100000PER","A","1969",25.8,
"BEL","SUICIDE","MEN","100000PER","A","1970",26.4,
"BEL","SUICIDE","MEN","100000PER","A","1971",26,
"BEL","SUICIDE","MEN","100000PER","A","1972",25.5,
"BEL","SUICIDE","MEN","100000PER","A","1973",25.3,
"BEL","SUICIDE","MEN","100000PER","A","1974",25.5,
"BEL","SUICIDE","MEN","100000PER","A","1975",25,
"BEL","SUICIDE","MEN","100000PER","A","1976",26.1,
"BEL","SUICIDE","MEN","100000PER","A","1977",28.7,
"BEL","SUICIDE","MEN","100000PER","A","1978",31.6,
"BEL","SUICIDE","MEN","100000PER","A","1979",32.1,"B"
"BEL","SUICIDE","MEN","100000PER","A","1980",31.9,
"BEL","SUICIDE","MEN","100000PER","A","1981",33.3,
"BEL","SUICIDE","MEN","100000PER","A","1982",33.8,
"BEL","SUICIDE","MEN","100000PER","A","1983",33.6,
"BEL","SUICIDE","MEN","100000PER","A","1984",36.2,
"BEL","SUICIDE","MEN","100000PER","A","1985",34.7,
"BEL","SUICIDE","MEN","100000PER","A","1986",33.6,
"BEL","SUICIDE","MEN","100000PER","A","1987",34.9,
"BEL","SUICIDE","MEN","100000PER","A","1988",30.4,
"BEL","SUICIDE","MEN","100000PER","A","1989",30.1,
"BEL","SUICIDE","MEN","100000PER","A","1990",29.2,
"BEL","SUICIDE","MEN","100000PER","A","1991",28.4,
"BEL","SUICIDE","MEN","100000PER","A","1992",28.4,
"BEL","SUICIDE","MEN","100000PER","A","1993",33.5,
"BEL","SUICIDE","MEN","100000PER","A","1994",33.3,
"BEL","SUICIDE","MEN","100000PER","A","1995",32.7,
"BEL","SUICIDE","MEN","100000PER","A","1996",30.7,
"BEL","SUICIDE","MEN","100000PER","A","1997",32.5,
"BEL","SUICIDE","MEN","100000PER","A","1998",30.6,"B"
"BEL","SUICIDE","MEN","100000PER","A","1999",27.8,
"BEL","SUICIDE","MEN","100000PER","A","2000",31,
"BEL","SUICIDE","MEN","100000PER","A","2001",31.8,
"BEL","SUICIDE","MEN","100000PER","A","2002",29.9,
"BEL","SUICIDE","MEN","100000PER","A","2003",30.7,
"BEL","SUICIDE","MEN","100000PER","A","2004",28.3,
"BEL","SUICIDE","MEN","100000PER","A","2005",28.5,
"BEL","SUICIDE","MEN","100000PER","A","2006",26.6,
"BEL","SUICIDE","MEN","100000PER","A","2007",25,
"BEL","SUICIDE","MEN","100000PER","A","2008",27.3,
"BEL","SUICIDE","MEN","100000PER","A","2009",27,
"BEL","SUICIDE","MEN","100000PER","A","2010",26.8,
"BEL","SUICIDE","MEN","100000PER","A","2011",27,
"BEL","SUICIDE","MEN","100000PER","A","2012",26.7,
"BEL","SUICIDE","MEN","100000PER","A","2013",24.1,
"BEL","SUICIDE","MEN","100000PER","A","2014",23.6,
"BEL","SUICIDE","MEN","100000PER","A","2015",23,
"BEL","SUICIDE","MEN","100000PER","A","2016",23.6,
"CAN","SUICIDE","MEN","100000PER","A","1960",15.9,
"CAN","SUICIDE","MEN","100000PER","A","1961",16.3,
"CAN","SUICIDE","MEN","100000PER","A","1962",14.9,
"CAN","SUICIDE","MEN","100000PER","A","1963",15.3,
"CAN","SUICIDE","MEN","100000PER","A","1964",16.5,
"CAN","SUICIDE","MEN","100000PER","A","1965",17.3,
"CAN","SUICIDE","MEN","100000PER","A","1966",16.9,
"CAN","SUICIDE","MEN","100000PER","A","1967",17.2,
"CAN","SUICIDE","MEN","100000PER","A","1968",18.2,
"CAN","SUICIDE","MEN","100000PER","A","1969",19.7,"B"
"CAN","SUICIDE","MEN","100000PER","A","1970",20.1,
"CAN","SUICIDE","MEN","100000PER","A","1971",21.1,
"CAN","SUICIDE","MEN","100000PER","A","1972",20.7,
"CAN","SUICIDE","MEN","100000PER","A","1973",21.2,
"CAN","SUICIDE","MEN","100000PER","A","1974",21.5,
"CAN","SUICIDE","MEN","100000PER","A","1975",20.3,
"CAN","SUICIDE","MEN","100000PER","A","1976",20.7,
"CAN","SUICIDE","MEN","100000PER","A","1977",23.1,
"CAN","SUICIDE","MEN","100000PER","A","1978",24.4,
